id;first_name;last_name;mail;phone;responsibility;note
1;Karl;Greithanner;bei;(06860) 4742414;GENERALLY;../fake-data/blob/hipster.txt
2;Julienne;Blassneck;zum Adverb;+49-4574-14407268;GENERALLY;../fake-data/blob/hipster.txt
3;Lola;Elss;platschen;+49-124-2226720;GENERALLY;../fake-data/blob/hipster.txt
4;Freya;Franz;gelungen nachdrücklich;+49-694-2719637;COMPANY_ADMIN;../fake-data/blob/hipster.txt
5;Ruby;Huckestein;aha veröden boo;+49-770-9173159;GENERALLY;../fake-data/blob/hipster.txt
6;Luka;Merkel;Schwangerschaft andrerseits;(06344) 1582121;GENERALLY;../fake-data/blob/hipster.txt
7;Matteo;Sagafe;yet whoa;(0653) 554438997;OTHER;../fake-data/blob/hipster.txt
8;Riccardo;Kurschilgen;oh;+49-4706-27667275;PRESS;../fake-data/blob/hipster.txt
9;Justine;Wujak;vorbei gegenüber bald;+49-5732-62900335;PRESS;../fake-data/blob/hipster.txt
10;Yasin;Wollenberg;abseifen;(00442) 5917934;PRESS;../fake-data/blob/hipster.txt
